Motor Down,Motor Up,Pitch,Roll
-42.40049228273585,32.02842268223047,20.188313035615852,-3.960188111172447
-42.40049228273585,30.66640126671729,19.857248570900847,-4.507706776169921
-42.40049228273585,29.30437985120411,19.51998287049492,-5.068974889053749
-42.40049228273585,27.94235843569093,19.176863190946218,-5.6439331216000275
-42.40049228273585,26.580337020177755,18.828239706798374,-6.232075279872925
-42.40049228273585,25.2183156046646,18.474458011797786,-6.833379541662093
-42.40049228273585,23.856294189151424,18.11586726156656,-7.447676115600589
-42.40049228273585,22.494272773638244,17.75282017466499,-8.074977532159217
-42.40049228273585,21.132251358125078,17.38566204725755,-8.714789804435112
-41.03267142138668,17.046187111585557,15.988958546515613,-10.25035129993377
-41.03267142138668,18.408208527098736,16.365889422142544,-9.572762777315223
-41.03267142138668,19.770229942611913,16.739728748762275,-8.907507550355474
-41.03267142138668,21.132251358125078,17.110127170737563,-8.254688410507462
-41.03267142138668,22.494272773638244,17.476735547203365,-7.614422590571896
-41.03267142138668,23.856294189151424,17.839202986998945,-6.986653300036589
-41.03267142138668,25.2183156046646,18.197188045459658,-6.3718870493942985
-41.03267142138668,26.580337020177755,18.550337697776488,-5.770110195547263
-41.03267142138668,27.94235843569093,18.898303952416978,-5.181495856363684
-41.03267142138668,29.30437985120411,19.240741706414532,-4.606066476941378
-41.03267142138668,30.66640126671729,19.57730355225507,-4.044336605689701
-41.03267142138668,32.02842268223047,19.907642887194122,-3.4963660444962357
-41.03267142138668,33.39044409774362,20.231354813350926,-2.9623217127543073
-41.03267142138668,34.7524655132568,20.54821297375952,-2.4425551997473147
-39.66485056003751,36.11448692876998,20.566997885325506,-1.4575490988664932
-39.66485056003751,34.7524655132568,20.25813980738845,-1.9632280989080968
-39.66485056003751,33.39044409774362,19.942013298963992,-2.4833893172584656
-39.66485056003751,32.02842268223047,19.619013555950485,-3.017843170290183
-39.66485056003751,30.66640126671729,19.289364878428703,-3.566235639831878
-39.66485056003751,29.30437985120411,18.95347094656025,-4.128396471285659
-39.66485056003751,27.94235843569093,18.611677671088025,-4.704265415954923
